CodigoNacional;NombreEstacion;Latitud;Altura;A�o;Mes;Dia;T.Maxima;T.Minima
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;3;1;21.0;27.4
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;3;2;20.4;27.0
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;3;3;20.6;26.4
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;3;4;21.3;26.6
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;3;5;20.6;25.8
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;3;6;20.1;26.7
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;3;7;20.8;26.4
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;3;8;20.5;26.4
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;3;9;20.5;26.4
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;3;10;21.2;26.5
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;3;11;21.1;26.4
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;3;12;21.7;26.3
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;3;13;22.0;26.8
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;3;14;22.0;26.3
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;3;15;22.3;27.0
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;3;16;21.6;25.8
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;3;17;22.1;26.9
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;3;18;21.5;27.4
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;3;19;21.2;27.7
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;3;20;21.2;27.2
