Año,CodigoNacional,T.Media
2018,180005,19.722865013774115
2018,200006,18.97369863013698
2018,230001,16.858767123287667
2018,270008,15.95591549295775
2018,290004,14.452335164835176
2018,330007,14.554395604395593
2018,330021,16.118630136986308
2018,340031,14.97341597796144
2018,360011,13.655068493150686
2018,360019,13.04342465753424
2018,380013,11.997477744807128
2018,390006,11.330631868131862
2018,410005,10.461917808219182
2019,180005,19.49808219178082
2019,200006,18.983287671232862
2019,230001,17.022054794520542
2019,270008,16.049589041095892
2019,290004,14.531780821917812
2019,330007,14.76157024793389
2019,330021,16.44328767123288
2019,340031,15.461977715877433
2019,360011,14.17410958904109
2019,360019,13.414246575342473
2019,380013,12.5174094707521
2019,390006,11.42220670391061
2019,410005,10.340410958904114
2020,180005,19.81793002915451
2020,200006,19.238934426229505
2020,230001,17.258516483516487
2020,270008,16.25368852459017
2020,290004,14.6379781420765
2020,330007,14.540163934426227
2020,330021,16.379781420765042
2020,340031,15.846260387811645
2020,360011,14.495342465753417
2020,360019,13.334289617486338
2020,380013,12.417768595041315
2020,390006,11.496174863387974
2020,410005,10.660792349726766
2021,180005,20.265193370165754
2021,200006,19.827900552486188
2021,230001,17.67541436464088
2021,270008,16.836740331491722
2021,290004,15.474166666666656
2021,330007,15.084285714285711
2021,330021,16.898895027624306
2021,340031,16.25414364640883
2021,360011,15.630939226519338
2021,360019,14.298066298342542
2021,380013,14.001657458563534
2021,390006,13.097237569060766
2021,410005,11.938950276243093
