CodigoNacional;NombreEstacion;Latitud;Altura;Año;Mes;Dia;T.Maxima;T.Minima
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;06;01;17.8;20.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;06;02;15.2;20.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;06;03;13.8;19.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;06;04;14.8;19.9
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;06;05;16.8;20.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;06;06;16.4;19.5
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;06;07;17.5;19.9
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;06;08;17.3;20.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;06;09;11.8;19.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;06;10;12.0;19.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;06;11;16.2;19.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;06;12;16.9;19.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;06;13;17.0;19.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;06;14;16.6;18.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;06;15;16.5;19.1
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;06;16;16.1;19.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;06;17;15.7;19.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;06;18;15.5;18.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;06;19;14.8;17.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;06;20;16.3;19.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;06;21;11.9;19.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;06;22;15.8;18.5
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;06;23;16.5;18.9
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;06;24;16.8;19.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;06;25;16.4;20.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;06;26;13.9;20.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;06;27;14.6;19.1
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;06;28;15.1;19.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;06;29;16.1;18.5
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2019;06;30;16.2;18.2
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;06;01;16.4;19.7
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;06;02;14.1;19.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;06;03;16.4;19.1
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;06;04;16.3;17.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;06;05;16.6;19.5
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;06;06;16.7;19.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;06;07;13.6;19.2
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;06;08;17.0;19.9
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;06;09;14.6;19.9
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;06;10;13.1;18.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;06;11;14.0;19.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;06;12;15.0;19.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;06;13;16.5;19.1
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;06;14;15.3;17.2
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2019;06;15;16.0;18.2
