CodigoNacional;NombreEstacion;Latitud;Altura;A�o;Mes;Dia;T.Maxima;T.Minima
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;2;1;20.0;26.6
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;2;2;21.5;27.5
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;2;3;20.4;26.0
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;2;4;21.5;27.1
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;2;5;19.4;26.0
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;2;6;19.7;26.6
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;2;7;19.5;24.9
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;2;8;19.2;26.0
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;2;9;19.9;26.0
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;2;10;20.3;26.2
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;2;11;20.0;26.4
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;2;12;20.4;25.9
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;2;13;20.6;26.2
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;2;14;21.6;26.8
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;2;15;21.0;27.1
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;2;16;21.1;27.3
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;2;17;21.2;27.3
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;2;18;21.3;26.7
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;2;19;22.0;28.1
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;2;20;22.3;27.8
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;2;21;22.0;26.7
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;2;22;21.4;26.5
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;2;23;23.0;27.8
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;2;24;22.6;28.3
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;2;25;22.4;28.5
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;2;26;21.1;28.2
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;2;27;21.6;27.3
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;2;28;20.9;27.4
