CodigoNacional;NombreEstacion;Latitud;Altura;Año;Mes;Dia;T.Maxima;T.Minima
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;10;01;16.2;20.5
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;10;02;17.1;21.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;10;03;17.4;21.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;10;04;17.8;21.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;10;05;15.7;21.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;10;06;15.6;21.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;10;07;15.5;22.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;10;08;17.3;22.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;10;09;14.0;21.9
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;10;10;18.7;21.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;10;11;17.4;20.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;10;12;17.4;21.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;10;13;16.5;20.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;10;14;16.0;20.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;10;15;16.2;20.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;10;16;16.4;20.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;10;17;16.7;20.1
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;10;18;16.3;20.1
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;10;19;16.9;20.5
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;10;20;17.3;20.9
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;10;21;17.5;20.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;10;22;17.5;21.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;10;23;17.2;20.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;10;24;17.7;21.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;10;25;17.2;20.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;10;26;17.3;20.5
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;10;27;17.6;20.5
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;10;28;18.2;22.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;10;29;18.1;21.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;10;30;18.3;21.9
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;10;31;16.2;22.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;10;01;17.6;21.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;10;02;17.5;20.9
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;10;03;16.6;20.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;10;04;15.3;21.2
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;10;05;15.9;20.2
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;10;06;14.6;21.2
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;10;07;16.5;21.2
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;10;08;17.3;21.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;10;09;17.3;20.9
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;10;10;18.1;21.2
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;10;11;17.7;20.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;10;12;17.2;19.9
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;10;13;17.0;20.7
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;10;14;14.1;19.1
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;10;15;15.7;19.7
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;10;16;16.0;19.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;10;17;16.1;19.9
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;10;18;15.8;19.5
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;10;19;16.4;19.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;10;20;16.7;20.4
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;10;21;16.7;19.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;10;22;17.0;20.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;10;23;14.4;21.1
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;10;24;16.4;20.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;10;25;14.3;19.7
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;10;26;15.8;20.1
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;10;27;17.3;20.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;10;28;17.3;20.5
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;10;29;15.5;21.2
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;10;30;18.6;22.7
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;10;31;16.0;21.4
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;10;01;2.4;26.8
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;10;02;2.7;27.1
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;10;03;2.4;25.4
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;10;04;4.0;24.8
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;10;05;3.3;24.8
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;10;06;4.5;23.6
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;10;07;9.7;24.0
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;10;08;6.6;24.0
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;10;09;7.7;24.2
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;10;10;5.7;23.8
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;10;11;4.4;23.1
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;10;12;2.2;21.7
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;10;13;1.9;22.3
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;10;14;0.8;24.5
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;10;15;2.7;24.2
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;10;16;5.9;24.2
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;10;17;4.2;25.2
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;10;18;4.6;26.6
