CodigoNacional;NombreEstacion;Latitud;Altura;A�o;Mes;Dia;T.Maxima;T.Minima
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;4;1;20.5;25.7
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;4;2;20.2;24.8
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;4;3;20.7;25.6
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;4;4;21.2;25.5
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;4;5;19.7;26.0
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;4;6;19.6;25.6
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;4;7;20.6;25.6
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;4;8;19.6;26.0
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;4;9;20.9;26.7
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;4;10;21.0;25.2
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;4;11;20.3;24.6
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;4;12;20.2;25.5
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;4;13;20.4;24.6
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;4;14;18.6;24.4
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;4;15;17.4;26.1
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;4;16;17.8;25.5
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;4;17;16.1;23.0
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;4;18;19.3;22.8
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;4;19;19.2;22.1
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;4;20;16.0;23.0
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;4;21;15.3;22.5
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;4;22;15.4;22.8
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;4;23;18.2;22.6
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;4;24;14.6;21.8
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;4;25;16.5;21.8
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;4;26;19.1;23.5
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;4;27;15.9;23.0
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;4;28;17.9;22.5
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;4;29;17.2;22.5
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;4;30;18.9;22.6
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;4;1;19.1;25.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;4;2;18.7;24.1
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;4;3;18.3;24.8
