CodigoNacional;NombreEstacion;Latitud;Altura;A�o;Mes;Dia;T.Maxima;T.Minima
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;5;27;16.3;21.2
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;5;28;18.0;22.1
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;5;29;18.0;23.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;5;30;16.1;21.7
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;5;31;15.7;21.8
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;5;1;3.7;26.1
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;5;2;3.1;24.6
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;5;3;4.7;24.0
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;5;4;2.6;23.9
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;5;5;3.6;23.4
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;5;6;7.6;25.4
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;5;7;6.5;25.3
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;5;8;3.2;25.1
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;5;9;4.1;25.4
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;5;10;4.7;24.0
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;5;11;2.5;23.3
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;5;12;2.3;22.5
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;5;13;-1.1;21.8
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;5;14;5.5;21.7
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;5;15;0.4;23.8
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;5;16;0.9;25.0
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;5;17;1.0;24.1
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;5;18;2.0;23.9
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;5;19;0.4;23.2
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;5;20;4.0;22.0
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;5;21;0.3;20.6
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;5;22;-1.6;23.3
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;5;23;3.8;24.0
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;5;24;1.6;27.0
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;5;25;4.5;26.6
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;5;26;5.5;28.8
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;5;27;4.3;23.3
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;5;28;1.4;23.1
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;5;29;1.6;19.8
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;5;30;0.6;18.3
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2020;5;31;2.1;18.2
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;5;1;12.1;18.4
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;5;2;16.0;18.7
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;5;3;12.6;18.3
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;5;4;15.4;18.5
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;5;5;13.1;17.9
