CodigoNacional;NombreEstacion;Latitud;Altura;A�o;Mes;Dia;T.Maxima;T.Minima
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;1;1;18.9;26.3
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;1;2;21.0;26.4
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;1;3;20.8;26.1
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;1;4;20.3;26.2
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;1;5;21.1;26.5
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;1;6;19.9;29.0
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;1;7;20.1;26.1
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;1;8;19.7;26.3
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;1;9;19.0;25.1
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;1;10;19.7;24.9
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;1;11;19.1;25.0
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;1;12;19.7;25.1
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;1;13;20.8;25.3
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;1;14;20.6;25.9
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;1;15;20.3;25.9
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;1;16;20.0;26.1
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;1;17;21.0;26.9
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;1;18;21.4;26.9
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;1;19;21.1;27.6
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;1;20;21.7;28.2
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;1;21;21.7;27.1
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;1;22;22.7;28.3
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;1;23;22.2;27.2
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;1;24;21.9;26.9
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;1;25;23.1;27.3
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;1;26;23.4;28.2
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;1;27;23.0;27.5
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;1;28;23.3;27.4
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;1;29;22.4;27.7
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;1;30;22.8;27.8
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;1;31;22.0;27.6
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;1;1;19.9;24.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;1;2;20.8;25.7
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;1;3;19.6;25.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;1;4;19.2;25.7
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;1;5;20.0;27.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;1;6;19.1;27.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;1;7;19.9;27.2
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;1;8;19.3;26.4
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;1;9;19.8;25.2
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;1;10;19.5;24.9
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;1;11;19.2;24.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;1;12;19.0;24.7
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;1;13;20.3;24.4
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;1;14;20.1;24.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;1;15;18.6;25.4
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;1;16;19.8;26.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;1;17;19.6;25.5
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;1;18;21.3;26.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;1;19;21.6;26.7
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;1;20;20.5;27.4
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;1;21;20.9;28.4
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;1;22;23.1;28.6
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;1;23;22.7;29.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;1;24;22.3;26.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;1;25;22.2;27.6
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;1;26;21.5;28.8
