CodigoNacional;NombreEstacion;Latitud;Altura;Año;Mes;Dia;T.Maxima;T.Minima
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;07;01;13.4;19.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;07;02;15.4;18.1
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;07;03;13.3;18.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;07;04;13.4;18.5
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;07;05;11.7;18.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;07;06;14.1;18.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;07;07;15.3;17.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;07;08;15.6;17.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;07;09;12.5;18.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;07;10;14.0;18.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;07;11;12.1;18.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;07;12;13.2;18.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;07;13;13.3;18.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;07;14;11.9;18.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;07;15;16.0;17.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;07;16;13.5;17.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;07;17;15.6;17.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;07;18;15.6;18.5
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;07;19;14.8;20.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;07;20;15.3;17.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;07;21;14.5;21.1
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;07;22;14.7;17.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;07;23;15.3;16.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;07;24;15.2;18.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;07;25;15.6;18.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;07;26;15.3;17.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;07;27;14.6;17.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;07;28;15.4;17.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;07;29;15.0;17.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;07;30;14.7;17.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;07;31;14.4;15.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;07;01;12.1;18.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;07;02;11.9;17.5
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;07;03;14.7;17.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;07;04;13.1;18.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;07;05;13.5;17.6
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;07;06;13.5;17.2
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;07;07;14.9;16.4
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;07;08;15.7;17.6
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;07;09;15.8;18.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;07;10;13.2;18.1
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;07;11;13.8;16.9
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;07;12;14.1;17.6
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;07;13;13.9;17.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;07;14;12.2;18.9
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;07;15;14.1;18.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;07;16;14.5;16.7
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;07;17;14.9;17.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;07;18;15.7;17.4
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;07;19;15.0;18.1
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;07;20;12.8;16.1
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;07;21;14.2;19.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;07;22;14.8;16.5
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;07;23;14.7;16.6
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;07;24;14.5;17.6
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;07;25;14.5;16.4
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;07;26;14.1;16.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;07;27;14.2;17.7
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;07;28;13.7;16.7
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;07;29;13.7;16.4
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;07;30;13.9;16.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;07;31;12.7;16.0
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;07;01;2.8;20.9
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;07;02;4.4;21.2
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;07;03;1.1;20.7
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;07;04;-1.7;19.3
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;07;05;0.5;21.3
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;07;06;1.9;22.2
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;07;07;-0.6;25.5
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;07;08;4.0;23.3
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;07;09;3.7;23.3
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;07;10;-0.8;21.9
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;07;11;3.2;21.1
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;07;12;3.2;21.5
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;07;13;4.8;24.1
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;07;14;4.9;20.2
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;07;15;3.5;22.5
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;07;16;5.3;22.7
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;07;17;1.6;22.4
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;07;18;1.8;20.0
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;07;19;7.3;15.2
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;07;20;1.0;20.8
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;07;21;3.0;18.8
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;07;22;6.0;21.3
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;07;23;4.9;22.2
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;07;24;5.3;20.8
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;07;25;5.4;21.1
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;07;26;3.0;20.3
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;07;27;5.5;19.1
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;07;28;-2.5;19.2
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;07;29;0.1;20.6
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;07;30;-2.2;20.4
220002;El Loa, Calama Ad.;22&deg 29' 43'' S;2293;2018;07;31;-3.1;20.0
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2018;07;01;9.5;16.6
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2018;07;02;10.4;15.6
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2018;07;03;13.0;16.5
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2018;07;04;12.9;16.5
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2018;07;05;12.3;15.2
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2018;07;06;12.7;14.8
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2018;07;07;12.8;15.8
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2018;07;08;13.9;18.5
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2018;07;09;14.0;17.0
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2018;07;10;13.4;15.7
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2018;07;11;12.3;14.8
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2018;07;12;12.5;14.8
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2018;07;13;12.1;14.7
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2018;07;14;12.9;16.8
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2018;07;15;12.3;18.9
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2018;07;16;13.1;15.8
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2018;07;17;13.3;15.5
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2018;07;18;13.6;15.5
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 1'' S;113;2018;07;19;12.8;14.5
