CodigoNacional;NombreEstacion;Latitud;Altura;Año;Mes;Dia;T.Maxima;T.Minima
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2019;12;01;15.9;23.8
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2019;12;02;16.3;23.6
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2019;12;03;19.7;24.3
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2019;12;04;19.6;24.2
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2019;12;05;18.1;24.3
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2019;12;06;17.2;23.2
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2019;12;07;19.3;24.7
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2019;12;08;19.4;24.7
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2019;12;09;19.6;24.8
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2019;12;10;19.4;24.8
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2019;12;11;19.0;24.3
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2019;12;12;19.1;23.6
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2019;12;13;19.1;23.6
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2019;12;14;17.0;23.5
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2019;12;15;16.4;24.0
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2019;12;16;16.6;24.4
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2019;12;17;18.7;24.8
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2019;12;18;18.0;25.1
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2019;12;19;18.2;24.3
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2019;12;20;16.2;23.4
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2019;12;21;17.2;24.4
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2019;12;22;17.9;24.6
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2019;12;23;20.1;24.1
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2019;12;24;20.2;24.5
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2019;12;25;17.8;24.2
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2019;12;26;18.4;24.3
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2019;12;27;19.9;24.9
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2019;12;28;17.8;25.3
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2019;12;29;20.7;25.1
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2019;12;30;18.1;25.0
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2019;12;31;18.5;24.9
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2019;12;01;17.8;23.5
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2019;12;02;16.3;23.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2019;12;03;18.6;23.2
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2019;12;04;19.2;22.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2019;12;05;19.1;23.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2019;12;06;16.5;23.7
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2019;12;07;16.7;23.2
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2019;12;08;19.5;23.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2019;12;09;18.0;23.4
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2019;12;10;18.7;23.5
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2019;12;11;17.9;22.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2019;12;12;17.9;22.4
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2019;12;13;18.7;23.9
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2019;12;14;17.2;23.7
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2019;12;15;16.2;23.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2019;12;16;17.6;23.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2019;12;17;19.2;24.5
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2019;12;18;17.0;24.5
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2019;12;19;18.3;24.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2019;12;20;17.5;24.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2019;12;21;17.5;23.4
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2019;12;22;18.0;23.4
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2019;12;23;18.0;23.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2019;12;24;18.5;24.2
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2019;12;25;19.4;23.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2019;12;26;18.8;24.1
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2019;12;27;19.0;24.5
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2019;12;28;18.8;24.5
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2019;12;29;19.1;25.4
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2019;12;30;20.3;25.4
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2019;12;31;19.3;25.0
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2019;12;01;6.4;27.3
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2019;12;02;4.3;26.7
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2019;12;03;6.8;25.5
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2019;12;04;3.3;25.2
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2019;12;05;5.3;25.9
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2019;12;06;4.0;25.3
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2019;12;07;3.3;24.9
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2019;12;08;4.9;24.4
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2019;12;09;4.9;24.7
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2019;12;10;6.6;25.2
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2019;12;11;4.9;25.2
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2019;12;12;4.8;25.7
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2019;12;13;4.3;25.5
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2019;12;14;5.2;25.3
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2019;12;15;6.7;25.8
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2019;12;16;5.5;25.0
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2019;12;17;5.9;25.1
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2019;12;18;4.6;25.2
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2019;12;19;6.0;25.2
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2019;12;20;6.2;27.3
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2019;12;21;5.0;27.7
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2019;12;22;4.8;28.1
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2019;12;23;4.5;26.2
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2019;12;24;5.0;27.2
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2019;12;25;6.1;26.8
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2019;12;26;10.0;27.6
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2019;12;27;8.9;25.3
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2019;12;28;11.7;26.2
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2019;12;29;8.1;27.0
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2019;12;30;10.0;26.1
220002;El Loa, Calama Ad.;22&deg 29' 53'' S;2321;2019;12;31;7.3;25.5
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2019;12;01;15.8;21.1
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2019;12;02;16.1;19.6
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2019;12;03;16.4;19.7
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2019;12;04;15.7;21.5
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2019;12;05;15.0;20.9
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2019;12;06;14.7;20.8
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2019;12;07;17.1;20.9
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2019;12;08;16.6;20.8
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2019;12;09;17.4;20.3
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2019;12;10;17.2;20.5
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2019;12;11;16.9;20.2
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2019;12;12;16.7;20.2
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2019;12;13;17.2;21.9
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2019;12;14;15.2;21.3
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2019;12;15;16.0;20.8
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2019;12;16;17.1;20.7
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2019;12;17;17.4;21.5
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2019;12;18;16.4;24.4
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2019;12;19;16.1;22.1
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2019;12;20;16.5;21.0
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2019;12;21;17.0;21.4
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2019;12;22;18.0;21.6
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2019;12;23;18.5;22.3
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2019;12;24;18.6;22.3
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2019;12;25;17.9;22.2
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2019;12;26;17.2;22.0
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2019;12;27;18.7;22.1
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2019;12;28;18.1;21.6
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2019;12;29;19.0;22.4
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2019;12;30;18.5;23.0
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2019;12;31;18.0;23.1
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2019;12;01;18.3;24.2
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2019;12;02;19.7;25.4
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2019;12;03;19.9;22.9
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2019;12;04;20.2;24.5
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2019;12;05;19.7;24.4
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2019;12;06;19.4;26.1
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2019;12;07;19.2;24.9
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2019;12;08;21.2;24.9
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2019;12;09;19.3;24.2
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2019;12;10;17.6;23.9
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2019;12;11;17.9;25.3
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2019;12;12;19.3;24.2
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2019;12;13;19.1;25.4
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2019;12;14;19.7;26.2
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2019;12;15;18.3;25.7
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2019;12;16;18.7;25.2
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2019;12;17;16.3;26.2
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2019;12;18;16.2;25.5
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2019;12;19;18.1;26.0
