CodigoNacional;NombreEstacion;Latitud;Altura;Año;Mes;Dia;T.Maxima;T.Minima
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;5;1;19.0;22.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;5;2;18.6;22.1
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;5;3;18.0;23.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;5;4;19.1;23.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;5;5;17.4;23.1
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;5;6;18.6;22.9
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;5;7;19.0;22.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;5;8;18.3;21.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;5;9;17.5;23.1
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;5;10;18.9;22.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;5;11;14.8;21.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;5;12;17.9;22.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;5;13;16.4;22.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;5;14;17.9;22.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;5;15;18.3;21.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;5;16;17.1;20.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;5;17;17.2;21.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;5;18;17.3;20.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;5;19;16.8;
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;5;20;16.6;20.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;5;21;;
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;5;22;13.4;20.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;5;23;17.1;20.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;5;24;17.9;20.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;5;25;17.4;19.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;5;26;17.2;20.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;5;27;17.9;20.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;5;28;18.2;20.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;5;29;18.1;21.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;5;30;16.9;23.1
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2018;5;31;17.9;20.4
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;5;1;18.8;22.6
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;5;2;16.2;21.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;5;3;17.6;22.4
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;5;4;16.5;20.9
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;5;5;18.1;22.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;5;6;15.8;21.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;5;7;16.7;21.7
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;5;8;16.9;19.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;5;9;17.1;22.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;5;10;16.1;22.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;5;11;13.9;20.1
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;5;12;18.0;20.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;5;13;14.7;20.5
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;5;14;14.3;20.4
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;5;15;13.7;20.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;5;16;15.1;19.6
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;5;17;14.6;19.4
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;5;18;16.2;19.9
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;5;19;15.7;19.4
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;5;20;17.2;19.9
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;5;21;15.4;19.9
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;5;22;12.9;19.9
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;5;23;14.8;19.1
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;5;24;15.3;18.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;5;25;14.9;18.6
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;5;26;16.0;18.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;5;27;15.9;18.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 23'' S;52;2018;5;28;16.4;18.8
