CodigoNacional;NombreEstacion;Latitud;Altura;A�o;Mes;Dia;T.Maxima;T.Minima
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;6;1;;21.5
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;6;2;18.1;19.4
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;6;3;;19.5
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;6;4;17.3;20.1
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;6;5;15.2;18.9
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;6;6;14.9;20.0
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;6;7;;20.7
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;6;8;17.7;20.7
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;6;9;;20.3
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;6;10;;19.3
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;6;11;17.0;20.6
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;6;12;17.6;19.8
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;6;13;17.1;20.2
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;6;14;;20.2
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;6;15;;19.3
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;6;16;;21.2
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;6;17;;20.1
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;6;18;;19.1
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;6;19;16.9;19.2
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;6;20;;19.3
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;6;21;;19.5
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;6;22;;19.3
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;6;23;16.3;20.0
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;6;24;;19.4
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;6;25;;19.1
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;6;26;16.6;19.9
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;6;27;;18.1
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;6;28;;18.2
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;6;29;13.1;18.0
180005;Chacalluta, Arica Ap.;18&deg 21' 20'' S;50;2020;6;30;11.2;18.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;6;1;16.3;20.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;6;2;17.1;19.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;6;3;17.3;21.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;6;4;14.1;19.7
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;6;5;11.0;18.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;6;6;13.6;19.1
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;6;7;14.5;19.8
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;6;8;16.0;19.2
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;6;9;16.5;20.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;6;10;17.1;19.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;6;11;15.9;20.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;6;12;13.8;19.6
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;6;13;16.4;18.5
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;6;14;16.4;18.3
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;6;15;16.6;18.7
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;6;16;15.3;18.9
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;6;17;16.5;19.4
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;6;18;13.0;18.0
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;6;19;16.6;20.5
200006;Diego Aracena Iquique Ap.;20&deg 32' 57'' S;48;2020;6;20;16.6;19.3
